epoch,loss,accuracy,val_loss,val_accuracy
0,0.5766996145248413,0.7232046723365784,1.7636594772338867,0.5276398658752441
1,0.45808932185173035,0.773931086063385,0.577925443649292,0.6991062760353088
2,0.37819012999534607,0.8192611336708069,0.4272049069404602,0.7904667258262634
3,0.3630227744579315,0.835616409778595,1105.916259765625,0.587884783744812
4,0.3119984567165375,0.8485678434371948,0.4188969135284424,0.8136378526687622
5,0.27085810899734497,0.8748858571052551,0.5130840539932251,0.782853364944458
6,0.22782443463802338,0.8944790363311768,0.48933207988739014,0.7838464379310608
7,0.19464147090911865,0.9113324880599976,0.684578001499176,0.79510098695755
8,0.18289227783679962,0.9183893799781799,0.5821391940116882,0.7874875664710999
9,0.15747086703777313,0.9277708530426025,0.547754168510437,0.7984111309051514
