epoch,loss,accuracy,val_loss,val_accuracy
0,0.5715837478637695,0.7362499833106995,1.553261399269104,0.512499988079071
1,0.42624959349632263,0.8025000095367432,1.2850582599639893,0.5425000190734863
2,0.31443923711776733,0.8687499761581421,0.8987072706222534,0.6600000262260437
3,0.2804824113845825,0.8831250071525574,0.6934267282485962,0.7599999904632568
4,0.2250281274318695,0.9106249809265137,2.4475200176239014,0.5824999809265137
5,0.21577584743499756,0.9118750095367432,1.629154086112976,0.6025000214576721
6,0.17143820226192474,0.9318749904632568,0.8462505340576172,0.762499988079071
7,0.13139161467552185,0.9518749713897705,0.9158638119697571,0.7325000166893005
8,0.15026777982711792,0.9468749761581421,0.5521609783172607,0.8424999713897705
9,0.1056566834449768,0.9618750214576721,1.54865300655365,0.6299999952316284
