epoch,loss,accuracy,val_loss,val_accuracy
0,0.5301411747932434,0.7481250166893005,4.280894756317139,0.4925000071525574
1,0.4242624342441559,0.8081250190734863,3.057363510131836,0.49000000953674316
2,0.36894381046295166,0.8431249856948853,1.7834304571151733,0.5149999856948853
3,0.29068803787231445,0.8843749761581421,0.640038013458252,0.7225000262260437
4,0.24404926598072052,0.8999999761581421,2.371598243713379,0.5149999856948853
5,0.2044425755739212,0.9168750047683716,0.6336542367935181,0.8224999904632568
6,0.2096821814775467,0.9300000071525574,0.8154364228248596,0.7549999952316284
7,0.15830586850643158,0.9399999976158142,0.7965843677520752,0.7300000190734863
8,0.17142903804779053,0.9243749976158142,0.8604535460472107,0.7475000023841858
9,0.14363360404968262,0.9474999904632568,1.3953771591186523,0.6875
